"base_filename","frame","region","person","x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
"Dyad-9.0_A_IDs-A107-A110",1,"body","left","291.776","274.265","0.834823","94.6594","521.498","0.355492","162.368","512.613","0.438437","386.094","804.028","0.569025","536.222","715.645","0.727522","6.35434","530.279","0.141955","0","0","0","0","0","0","280.115","1030.64","0.0671138","336.038","1042.37","0.125062","715.656","854.065","0.68828","0","0","0","0","0","0","0","0","0","0","0","0","262.481","256.616","0.833506","0","0","0","180.021","294.806","0.584417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",2,"body","left","291.862","274.205","0.860328","97.5831","518.47","0.358575","165.335","509.724","0.432705","391.897","801.045","0.653226","533.215","706.906","0.760474","44.6455","509.695","0.144683","0","0","0","0","0","0","285.981","1010.02","0.0691896","324.246","1042.39","0.103242","715.698","859.89","0.686931","0","0","0","241.854","989.443","0.0620455","633.365","756.913","0.382936","0","0","0","265.409","259.44","0.833573","0","0","0","182.952","294.81","0.600775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",3,"body","left","291.883","274.255","0.857807","94.6939","512.593","0.3642","168.304","509.682","0.449135","397.842","801.008","0.64554","530.356","701.036","0.770058","26.9833","500.871","0.140273","0","0","0","0","0","0","291.891","995.308","0.0641335","327.211","1036.53","0.0814534","715.713","859.971","0.69656","0","0","0","241.861","980.599","0.058105","0","0","0","0","0","0","265.416","259.575","0.814701","285.953","250.708","0.101962","185.879","294.872","0.572537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",4,"body","left","294.917","277.185","0.832964","77.0511","518.504","0.305235","177.079","515.511","0.430883","397.794","803.938","0.632846","530.352","700.999","0.812049","6.33035","503.781","0.0819366","0","0","0","0","0","0","288.936","995.313","0.0651499","324.258","1036.52","0.0949938","718.567","859.984","0.70839","0","0","0","235.971","983.535","0.0546985","0","0","0","0","0","0","274.188","256.573","0.807073","0","0","0","188.915","291.84","0.578437","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",5,"body","left","297.683","277.219","0.825585","59.3319","521.487","0.310506","179.996","515.56","0.418307","400.782","801.046","0.647768","530.297","706.929","0.718947","6.28098","509.673","0.05068","0","0","0","0","0","0","280.118","989.443","0.0555791","309.554","1042.42","0.0841285","718.601","859.914","0.725948","0","0","0","0","0","0","0","0","0","0","0","0","274.248","256.607","0.81577","0","0","0","194.722","288.919","0.607339","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",6,"body","left","297.845","280.039","0.837396","62.3189","515.582","0.332213","191.768","518.473","0.434728","409.617","801.118","0.644397","542.043","703.972","0.684583","6.2858","494.994","0.0679607","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","277.152","262.368","0.835197","0","0","0","194.721","288.981","0.622694","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",7,"body","left","303.63","283.039","0.800053","68.2354","515.566","0.330719","194.789","518.463","0.42369","409.588","804.043","0.632322","536.222","715.709","0.760672","6.3022","492.016","0.0759736","0","0","0","0","0","0","259.509","992.369","0.0555353","288.948","1039.47","0.0842429","718.608","860.013","0.694304","0","0","0","0","0","0","0","0","0","0","0","0","282.991","265.296","0.812614","297.72","256.508","0.0693643","200.657","291.88","0.617159","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",8,"body","left","306.655","288.829","0.788909","77.0074","512.65","0.307828","188.858","509.733","0.436747","403.753","804.045","0.64782","542.028","718.724","0.758321","6.30293","497.924","0.0739829","0","0","0","0","0","0","265.397","968.835","0.0680465","280.109","1021.82","0.077154","715.8","859.988","0.686977","0","0","0","233.025","951.166","0.0659729","636.27","759.884","0.526074","0","0","0","285.965","268.31","0.852506","303.598","259.556","0.0928266","203.597","291.85","0.638785","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",9,"body","left","312.554","286.062","0.786073","88.8031","512.631","0.316648","191.775","509.736","0.42614","406.694","804.03","0.668728","539.142","721.677","0.767403","6.31094","512.606","0.0817004","0","0","0","0","0","0","280.101","989.417","0.0547974","303.664","1036.53","0.0756001","715.795","862.815","0.689881","0","0","0","0","0","0","0","0","0","0","0","0","291.799","268.278","0.846556","309.564","262.437","0.0904357","203.537","291.797","0.643018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-9.0_A_IDs-A107-A110",10,"body","left","315.449","288.937","0.779074","85.8594","515.555","0.330854","197.678","515.553","0.40338","412.481","801.02","0.660855","542.029","718.635","0.786502","6.32737","492.009","0.0742741","0","0","0","0","0","0","265.379","992.377","0.0536211","297.767","1039.46","0.074827","715.773","859.981","0.681775","0","0","0","0","0","0","0","0","0","0","0","0","294.773","268.424","0.83273","312.447","265.333","0.0769633","206.502","294.78","0.608799","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
