"base_filename","frame","region","person","x0","y0","c0","x1","y1","c1","x2","y2","c2","x3","y3","c3","x4","y4","c4","x5","y5","c5","x6","y6","c6","x7","y7","c7","x8","y8","c8","x9","y9","c9","x10","y10","c10","x11","y11","c11","x12","y12","c12","x13","y13","c13","x14","y14","c14","x15","y15","c15","x16","y16","c16","x17","y17","c17","x18","y18","c18","x19","y19","c19","x20","y20","c20","x21","y21","c21","x22","y22","c22","x23","y23","c23","x24","y24","c24"
"Dyad-32.0_C_IDs-C013-C016",1,"body","right","1657.58","368.351","0.895569","1784.09","544.977","0.510894","1689.98","527.32","0.541291","1660.49","748.052","0.378174","1601.58","795.162","0.347938","1881.21","559.725","0.374255","1840.05","854.02","0.45005","1575.17","860.04","0.25863","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1663.44","341.888","0.129056","1687.03","339.022","0.898223","0","0","0","1778.21","359.472","0.69435","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",2,"body","right","1657.55","365.393","0.920682","1787.05","545.012","0.480022","1698.73","524.383","0.481656","1663.45","748.078","0.28691","1604.52","795.165","0.3085","1884.15","565.6","0.364555","1842.95","851.075","0.443267","1578.07","860.036","0.2102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1663.5","339.002","0.212007","1687.08","338.925","0.884134","0","0","0","1781.14","359.623","0.691704","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",3,"body","right","1657.44","365.329","0.914855","1784.14","539.128","0.462247","1701.66","512.607","0.504729","1657.46","756.873","0.431035","1589.93","809.831","0.365159","1881.21","565.602","0.337808","1834.12","845.247","0.295121","1663.43","865.791","0.072389","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1660.63","339.019","0.252739","1687.07","338.88","0.88355","0","0","0","1784.13","362.388","0.6693","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",4,"body","right","1654.64","365.334","0.913964","1792.9","545.015","0.468395","1701.69","506.816","0.525633","1660.58","751.055","0.344024","1601.62","798.143","0.299527","1887.08","577.34","0.383522","1828.31","848.165","0.426409","1586.9","859.972","0.202925","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1660.52","338.947","0.346423","1687.05","338.89","0.891336","0","0","0","1781.26","362.389","0.677834","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",5,"body","right","1654.6","365.438","0.906642","1790.02","536.202","0.448682","1704.58","506.801","0.489688","1657.61","756.943","0.364037","1589.88","809.845","0.28699","1884.18","565.578","0.332816","1834.14","836.422","0.432597","1581.05","865.858","0.237134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1660.39","338.987","0.4326","1686.99","338.95","0.909659","0","0","0","1784.09","362.424","0.648295","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",6,"body","right","1654.59","365.52","0.900718","1790.01","542.078","0.482671","1698.78","512.635","0.505627","1657.6","759.839","0.385852","1589.82","809.912","0.324972","1887.11","565.626","0.389304","1825.39","839.396","0.413608","1592.77","856.979","0.178077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1657.58","339.106","0.504871","1684.17","339.055","0.92903","0","0","0","1778.36","362.451","0.6887","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",7,"body","right","1654.52","365.604","0.884872","1784.12","544.98","0.508157","1692.91","512.641","0.542172","1657.58","756.917","0.389509","1589.84","809.809","0.297127","1884.16","568.58","0.395504","1822.3","839.305","0.446269","1586.92","859.932","0.259134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1657.43","341.843","0.651995","1684.11","341.795","0.94755","0","0","0","1778.34","362.526","0.699674","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",8,"body","right","1651.66","368.388","0.867828","1784.15","533.267","0.516494","1698.75","506.76","0.526053","1657.47","759.884","0.421788","1586.94","809.904","0.315942","1887.08","559.739","0.395975","1816.47","830.51","0.491967","1575.16","868.739","0.307671","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1654.61","341.88","0.679516","1684.03","341.845","0.959543","0","0","0","1778.21","362.409","0.705833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",9,"body","right","1651.67","368.408","0.863094","1784.16","533.24","0.547813","1692.91","509.651","0.574454","1651.69","751.046","0.508589","1586.87","809.864","0.444531","1887.11","556.78","0.429577","1810.64","824.63","0.553241","1581","862.884","0.36677","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1654.55","341.923","0.711284","1684.01","341.898","0.961474","0","0","0","1778.2","362.454","0.705411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dyad-32.0_C_IDs-C013-C016",10,"body","right","1651.68","368.465","0.863148","1781.17","530.376","0.553017","1689.95","512.627","0.539861","1651.64","759.777","0.464003","1583.94","812.934","0.317536","1884.15","550.875","0.430204","1813.54","815.834","0.548518","1563.36","871.721","0.314753","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1654.52","341.981","0.752262","1683.99","341.928","0.963317","0","0","0","1778.19","362.497","0.710205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
