base_filename,frame,region,person,x0,y0,c0,x1,y1,c1,x2,y2,c2,x3,y3,c3,x4,y4,c4,x5,y5,c5,x6,y6,c6,x7,y7,c7,x8,y8,c8,x9,y9,c9,x10,y10,c10,x11,y11,c11,x12,y12,c12,x13,y13,c13,x14,y14,c14,x15,y15,c15,x16,y16,c16,x17,y17,c17,x18,y18,c18,x19,y19,c19,x20,y20,c20,x21,y21,c21,x22,y22,c22,x23,y23,c23,x24,y24,c24
A-B,12,body,right,1351.44,383.055,0.918984,1463.3,509.715,0.745075,1336.77,503.677,0.757041,1330.89,692.113,0.376841,1257.33,671.629,0.872249,1589.86,527.236,0.637982,1680.95,739.236,0.799662,1492.65,721.591,0.7972,1448.52,892.308,0.293978,1348.49,877.604,0.209773,0,0,0,0,0,0,1542.77,904.045,0.280925,0,0,0,0,0,0,1351.51,344.983,0.775486,1377.99,359.574,0.904283,0,0,0,1472.04,362.392,0.913571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,13,body,right,1351.57,383.009,0.904713,1460.4,509.724,0.741224,1336.72,503.687,0.767348,1325,680.374,0.398668,1257.28,671.484,0.878126,1589.85,524.423,0.638389,1678.07,739.19,0.772006,1492.66,721.549,0.805018,1439.71,901.155,0.179493,1339.67,883.514,0.133631,0,0,0,0,0,0,1539.83,907.051,0.182642,0,0,0,0,0,0,1351.56,344.869,0.843684,1380.97,359.551,0.862029,0,0,0,1472.21,362.392,0.91198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,14,body,right,1354.4,382.997,0.898568,1460.34,509.658,0.761732,1336.72,503.698,0.774675,1322.04,674.555,0.484403,1257.19,671.453,0.886629,1589.81,521.488,0.635958,1675.25,739.206,0.774195,1492.62,718.81,0.806423,1436.8,909.957,0.121444,1336.75,889.373,0.0874386,0,0,0,0,0,0,1539.81,909.987,0.143323,0,0,0,0,0,0,1354.29,342.076,0.870839,1386.76,359.453,0.837928,0,0,0,1472.2,359.605,0.904369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,15,body,right,1354.53,380.202,0.877574,1460.32,506.874,0.773263,1336.7,503.765,0.783378,1322.05,677.456,0.515311,1257.22,671.503,0.898946,1589.8,518.507,0.636016,1675.17,739.12,0.755859,1492.61,718.761,0.815598,1427.98,904.079,0.120113,1330.83,883.475,0.0913248,0,0,0,0,0,0,1533.9,909.947,0.14046,0,0,0,0,0,0,1354.35,342.076,0.895534,1392.66,356.572,0.837521,0,0,0,1475.04,359.573,0.880186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,16,body,right,1354.57,377.28,0.865451,1457.47,506.826,0.776362,1336.78,503.759,0.778942,1322.02,677.463,0.549015,1257.35,671.501,0.906244,1586.94,515.562,0.643723,1672.28,736.302,0.744815,1489.81,718.761,0.809911,1433.86,904.092,0.0987256,1333.86,886.412,0.0641608,0,0,0,0,0,0,1539.77,907.028,0.123511,0,0,0,0,0,0,1354.37,342.061,0.903232,1392.62,353.653,0.825043,0,0,0,1475.11,356.611,0.846878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,17,body,right,1354.57,377.174,0.8625,1457.42,506.776,0.788235,1336.76,503.759,0.7824,1327.91,689.212,0.538826,1257.31,671.6,0.900833,1586.86,512.58,0.651535,1672.25,736.27,0.744056,1489.7,718.742,0.809945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.37,342.003,0.913389,1392.61,347.823,0.825537,0,0,0,1475.18,356.669,0.845093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,18,body,right,1357.34,374.306,0.859427,1457.37,506.745,0.798392,1336.75,503.789,0.78818,1324.93,683.3,0.54203,1257.38,671.707,0.890025,1586.82,509.707,0.657668,1672.29,733.389,0.732114,1483.87,718.645,0.804738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.39,342.035,0.914591,1395.48,347.866,0.834299,0,0,0,1475.19,356.678,0.848713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,19,body,right,1357.38,374.346,0.854831,1454.52,506.707,0.798306,1336.74,503.787,0.787381,1330.79,692.107,0.444975,1260.28,674.46,0.865044,1584,509.636,0.660722,1672.26,733.301,0.730174,1478,718.591,0.811486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.4,342.035,0.925003,1395.61,350.758,0.857635,0,0,0,1478.01,359.484,0.850882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,20,body,right,1360.33,374.312,0.839747,1451.64,506.71,0.802334,1336.74,503.838,0.786093,1327.94,689.258,0.444465,1260.31,674.584,0.838518,1583.88,506.839,0.650378,1666.4,733.331,0.735309,1472.24,718.529,0.829331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.46,342.071,0.925258,1398.49,350.706,0.885289,0,0,0,1478.07,359.524,0.85269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A-B,21,body,right,1363.21,371.39,0.838561,1454.48,506.7,0.801142,1336.75,503.823,0.785553,1330.86,689.192,0.389444,1263.12,677.425,0.812047,1583.91,509.629,0.654636,1663.44,736.273,0.764277,1472.02,718.528,0.840324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.46,342.036,0.932226,1398.53,347.809,0.89849,0,0,0,1480.94,359.509,0.848683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
